Timestamp,User,Model,Requests Used,Exceeds Monthly Quota,Total Monthly Quota
2025-06-18T09:24:12.6062240Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:23:40.8557960Z,User205,o1-2024-12-17,10,FALSE,Unlimited
2025-06-18T09:23:05.0035600Z,User95,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T09:22:08.6528470Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:21:33.5344600Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:20:30.7605470Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:19:58.7846520Z,User77,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:19:58.4139920Z,User95,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T09:19:10.2449560Z,User89,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:18:44.7678370Z,User108,Code Review,1,FALSE,Unlimited
2025-06-18T09:17:15.4296300Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:17:14.8978710Z,User89,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:15:56.7008930Z,User89,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:15:28.1093010Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:14:41.9138660Z,User173,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:14:39.4688170Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:13:09.0644450Z,User30,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T09:13:04.6294210Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:13:04.2113080Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:12:33.4060790Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:08:58.1194550Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:08:34.9113570Z,User85,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T09:08:05.1439680Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:06:29.3592070Z,User82,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:05:08.2851970Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:04:34.6748190Z,User47,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T09:01:42.8326360Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T09:00:53.7107380Z,User216,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T09:00:21.7526700Z,User77,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:59:38.2091330Z,User82,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:57:57.2437390Z,User77,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:56:38.6709710Z,User216,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:56:24.1231390Z,User77,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:53:57.4574960Z,User216,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:52:28.7201910Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:52:01.3087320Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:51:11.4021580Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:50:37.7060260Z,User58,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:50:29.6281300Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:49:27.7542780Z,User85,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:48:18.6324440Z,User177,Code Review,1,FALSE,Unlimited
2025-06-18T08:45:29.6988770Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:45:26.1323330Z,User133,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:44:56.9398420Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:43:29.7221770Z,User216,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:42:41.7222660Z,User106,gpt-4o-2024-11-20,1,FALSE,Unlimited
2025-06-18T08:42:33.0298400Z,User51,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:39:52.1286820Z,User114,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:39:10.0116450Z,User92,gpt-4o-2024-11-20,1,FALSE,Unlimited
2025-06-18T08:38:36.5406890Z,User51,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:38:29.9794350Z,User92,gpt-4o-2024-11-20,1,FALSE,Unlimited
2025-06-18T08:38:18.3628400Z,User51,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:38:05.4638430Z,User157,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:37:47.4070760Z,User51,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:29:38.4143950Z,User202,gpt-4o-2024-11-20,1,FALSE,Unlimited
2025-06-18T08:29:11.4086240Z,User129,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:28:59.0618710Z,User129,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:28:57.2410320Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:28:46.8583080Z,User129,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:28:30.4397360Z,User129,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:28:15.1591270Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:26:56.5768660Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:26:22.0079290Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:25:59.7157260Z,User10,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:25:04.3327490Z,User10,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:24:34.8301410Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:23:34.7927650Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:21:13.0302520Z,User51,claude-sonnet-4,1,FALSE,Unlimited
2025-06-18T08:21:11.3625380Z,User69,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:19:06.2850010Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:18:20.8067110Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:16:31.5815740Z,User89,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:11:55.3403700Z,User3,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:11:05.2910660Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:09:38.9894920Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:09:07.4795480Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:07:33.6722360Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:07:00.9902970Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:06:31.5159640Z,User175,Code Review,1,FALSE,Unlimited
2025-06-18T08:06:10.3191530Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:06:01.3826650Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:05:53.3735520Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:04:55.7453190Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:04:07.3372900Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:03:43.0031990Z,User18,claude-3.7-sonnet,1,FALSE,Unlimited
2025-06-18T08:03:39.6829580Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:03:11.8273640Z,User67,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:02:56.6378310Z,User131,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:02:43.8052620Z,User67,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:02:35.2487720Z,User67,gpt-4.1-2025-04-14,1,FALSE,Unlimited
2025-06-18T08:01:53.5055870Z,User27,Code Review,1,FALSE,Unlimited
